	study_accession	secondary_study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_layout	read_count	study_alias	experiment_alias	run_alias	fastq_bytes	fastq_md5	fastq_ftp	fastq_galaxy	submitted_ftp	submitted_galaxy	sra_ftp	sra_galaxy	cram_index_ftp	cram_index_galaxy	sample_alias	sample_title
500	PRJEB4352	ERP003628	SAMEA2189665	ERS327852	ERX288833	ERR315684	408172	marine metagenome	454 GS FLX Titanium	SINGLE	35359	study_AHX	exp_7.GAC.AHX_AAGOTS_GIQV5A307	run_7.GAC.AHX_AAGOTS_GIQV5A307	7299886	7a992193da563cafe36bffcd34599ca9	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315684/ERR315684.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315684/ERR315684.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA241/ERA241291/sff/AHX_AAGOTS_GIQV5A307.sff	ftp.sra.ebi.ac.uk/vol1/ERA241/ERA241291/sff/AHX_AAGOTS_GIQV5A307.sff	ftp.sra.ebi.ac.uk/vol1/err/ERR315/ERR315684	ftp.sra.ebi.ac.uk/vol1/err/ERR315/ERR315684			sample_AHX_408172_7SUR1QQSS11	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for protists
501	PRJEB4352	ERP003628	SAMEA2189665	ERS327852	ERX288839	ERR315685	408172	marine metagenome	454 GS FLX Titanium	SINGLE	658015	study_AHX	exp_1.GAC.AHX_AAGOTS_GOTMFZR01	run_1.GAC.AHX_AAGOTS_GOTMFZR01	159070374	b29707b4a7ddfb3bd614cb06fd86c42a	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315685/ERR315685.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315685/ERR315685.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA241/ERA241291/sff/AHX_AAGOTS_GOTMFZR01.sff	ftp.sra.ebi.ac.uk/vol1/ERA241/ERA241291/sff/AHX_AAGOTS_GOTMFZR01.sff	ftp.sra.ebi.ac.uk/vol1/err/ERR315/ERR315685	ftp.sra.ebi.ac.uk/vol1/err/ERR315/ERR315685			sample_AHX_408172_7SUR1QQSS11	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for protists
502	PRJEB4352	ERP003628	SAMEA2189670	ERS327857	ERX288836	ERR315686	408172	marine metagenome	454 GS FLX Titanium	SINGLE	237744	study_AHX	exp_2.GAC.AHX_AAEOTS_GFU6U0Q02	run_2.GAC.AHX_AAEOTS_GFU6U0Q02	64126071	2fe704548fe0ee3ea0971a58e8ce8276	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315686/ERR315686.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315686/ERR315686.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA241/ERA241291/sff/AHX_AAEOTS_GFU6U0Q02.sff	ftp.sra.ebi.ac.uk/vol1/ERA241/ERA241291/sff/AHX_AAEOTS_GFU6U0Q02.sff	ftp.sra.ebi.ac.uk/vol1/err/ERR315/ERR315686	ftp.sra.ebi.ac.uk/vol1/err/ERR315/ERR315686			sample_AHX_408172_7SUR1GGMM11	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for protists
503	PRJEB4352	ERP003628	SAMEA2189668	ERS327855	ERX288832	ERR315687	408172	marine metagenome	454 GS FLX Titanium	SINGLE	528217	study_AHX	exp_2.GAC.AHX_AAKOTM_GJG0H8S02.RLMID12	run_2.GAC.AHX_AAKOTM_GJG0H8S02.RLMID12	131871569	38a2e026f7a110fbae86084f0b442c55	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315687/ERR315687.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315687/ERR315687.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA241/ERA241291/sff/AHX_AAKOTM_GJG0H8S02.RLMID12.sff	ftp.sra.ebi.ac.uk/vol1/ERA241/ERA241291/sff/AHX_AAKOTM_GJG0H8S02.RLMID12.sff	ftp.sra.ebi.ac.uk/vol1/err/ERR315/ERR315687	ftp.sra.ebi.ac.uk/vol1/err/ERR315/ERR315687			sample_AHX_408172_7SUR1MMQQ12	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for protists
504	PRJEB4352	ERP003628	SAMEA2189669	ERS327856	ERX288825	ERR315689	408172	marine metagenome	454 GS FLX Titanium	SINGLE	270296	study_AHX	exp_2.GAC.AHX_AADOTS_GGFQ8FC02	run_2.GAC.AHX_AADOTS_GGFQ8FC02	68410192	4aa02a5e1b21b84e8e75fb8cd966c189	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315689/ERR315689.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315689/ERR315689.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA241/ERA241291/sff/AHX_AADOTS_GGFQ8FC02.sff	ftp.sra.ebi.ac.uk/vol1/ERA241/ERA241291/sff/AHX_AADOTS_GGFQ8FC02.sff	ftp.sra.ebi.ac.uk/vol1/err/ERR315/ERR315689	ftp.sra.ebi.ac.uk/vol1/err/ERR315/ERR315689			sample_AHX_408172_7DCM1SSUU11	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for protists
505	PRJEB4352	ERP003628	SAMEA2189669	ERS327856	ERX288824	ERR315690	408172	marine metagenome	454 GS FLX Titanium	SINGLE	549189	study_AHX	exp_2.GAC.AHX_AADOTS_GIWOK7M02	run_2.GAC.AHX_AADOTS_GIWOK7M02	134205735	727c3bb333cad69208d532e50a093660	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315690/ERR315690.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315690/ERR315690.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA241/ERA241291/sff/AHX_AADOTS_GIWOK7M02.sff	ftp.sra.ebi.ac.uk/vol1/ERA241/ERA241291/sff/AHX_AADOTS_GIWOK7M02.sff	ftp.sra.ebi.ac.uk/vol1/err/ERR315/ERR315690	ftp.sra.ebi.ac.uk/vol1/err/ERR315/ERR315690			sample_AHX_408172_7DCM1SSUU11	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for protists
506	PRJEB4352	ERP003628	SAMEA2189671	ERS327858	ERX288823	ERR315691	408172	marine metagenome	454 GS FLX Titanium	SINGLE	261842	study_AHX	exp_3.GAC.AHX_AAHOTS_GHH8HNY03	run_3.GAC.AHX_AAHOTS_GHH8HNY03	64744523	2eeb42e70e0a9de21e69beddf2992112	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315691/ERR315691.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315691/ERR315691.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA241/ERA241291/sff/AHX_AAHOTS_GHH8HNY03.sff	ftp.sra.ebi.ac.uk/vol1/ERA241/ERA241291/sff/AHX_AAHOTS_GHH8HNY03.sff	ftp.sra.ebi.ac.uk/vol1/err/ERR315/ERR315691	ftp.sra.ebi.ac.uk/vol1/err/ERR315/ERR315691			sample_AHX_408172_7SUR1SSUU11	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for protists
507	PRJEB4352	ERP003628	SAMEA2189667	ERS327854	ERX288830	ERR315692	408172	marine metagenome	454 GS FLX Titanium	SINGLE	598818	study_AHX	exp_1.GAC.AHX_AACOTS_GID30WG01	run_1.GAC.AHX_AACOTS_GID30WG01	143714095	73b117ccbdc1c9ff0626a13c700d8b29	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315692/ERR315692.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315692/ERR315692.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA241/ERA241291/sff/AHX_AACOTS_GID30WG01.sff	ftp.sra.ebi.ac.uk/vol1/ERA241/ERA241291/sff/AHX_AACOTS_GID30WG01.sff	ftp.sra.ebi.ac.uk/vol1/err/ERR315/ERR315692	ftp.sra.ebi.ac.uk/vol1/err/ERR315/ERR315692			sample_AHX_408172_7DCM1QQSS11	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for protists
508	PRJEB4352	ERP003628	SAMEA2189665	ERS327852	ERX288821	ERR315693	408172	marine metagenome	454 GS FLX Titanium	SINGLE	236860	study_AHX	exp_3.GAC.AHX_AAGOTS_GFU6U0Q03	run_3.GAC.AHX_AAGOTS_GFU6U0Q03	64362413	3c12c555042f4ecc11f1ce710b23a465	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315693/ERR315693.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315693/ERR315693.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA241/ERA241291/sff/AHX_AAGOTS_GFU6U0Q03.sff	ftp.sra.ebi.ac.uk/vol1/ERA241/ERA241291/sff/AHX_AAGOTS_GFU6U0Q03.sff	ftp.sra.ebi.ac.uk/vol1/err/ERR315/ERR315693	ftp.sra.ebi.ac.uk/vol1/err/ERR315/ERR315693			sample_AHX_408172_7SUR1QQSS11	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for protists
509	PRJEB4352	ERP003628	SAMEA2189669	ERS327856	ERX288828	ERR315694	408172	marine metagenome	454 GS FLX Titanium	SINGLE	211886	study_AHX	exp_4.GAC.AHX_AADOKS_GJG1U1Y04	run_4.GAC.AHX_AADOKS_GJG1U1Y04	67807001	75fbdbc96f3a0241c534205e66944b78	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315694/ERR315694.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315694/ERR315694.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA241/ERA241291/sff/AHX_AADOKS_GJG1U1Y04.sff	ftp.sra.ebi.ac.uk/vol1/ERA241/ERA241291/sff/AHX_AADOKS_GJG1U1Y04.sff	ftp.sra.ebi.ac.uk/vol1/err/ERR315/ERR315694	ftp.sra.ebi.ac.uk/vol1/err/ERR315/ERR315694			sample_AHX_408172_7DCM1SSUU11	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for protists
510	PRJEB4352	ERP003628	SAMEA2189666	ERS327853	ERX288835	ERR315695	408172	marine metagenome	454 GS FLX Titanium	SINGLE	501271	study_AHX	exp_1.GAC.AHX_AAIOTM_GJMJM7001.RLMID11	run_1.GAC.AHX_AAIOTM_GJMJM7001.RLMID11	86463740	2db77946e029ea6aec2b3980db614d95	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315695/ERR315695.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315695/ERR315695.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA241/ERA241291/sff/AHX_AAIOTM_GJMJM7001.RLMID11.sff	ftp.sra.ebi.ac.uk/vol1/ERA241/ERA241291/sff/AHX_AAIOTM_GJMJM7001.RLMID11.sff	ftp.sra.ebi.ac.uk/vol1/err/ERR315/ERR315695	ftp.sra.ebi.ac.uk/vol1/err/ERR315/ERR315695			sample_AHX_408172_7DCM1MMQQ12	Shotgun Sequencing of Tara Oceans DNA samples corresponding to size fractions for protists
593	PRJEB4352	ERP003628	SAMEA2591082	ERS477961	ERX503391	ERR538187	408172	marine metagenome	Illumina Genome Analyzer IIx	PAIRED	25900035	study_AHX	exp_AHX_AABOSS_6_61499AAXX	run_AHX_AABOSS_6_61499AAXX	1905830719	d8e3cb6a1be8ee3b5f90a97732905664	ftp.sra.ebi.ac.uk/vol1/fastq/ERR538/ERR538187/ERR538187.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR538/ERR538187/ERR538187.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA320/ERA320049/fastq/AHX_AABOSS_6_61499AAXX_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA320/ERA320049/fastq/AHX_AABOSS_6_61499AAXX_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR538/ERR538187	ftp.sra.ebi.ac.uk/vol1/err/ERR538/ERR538187			TARA_A200000148	TARA_20090923T1608Z_007_EVENT_PUMP_P_D_(42-44m)_PROT_NUC-RNA(100L)_W5-20_TARA_A200000148
